Date,Num_Coins
4/2/22,19001068.75
4/1/22,19000162.5
3/31/22,18999187.5
3/30/22,18998493.75
3/29/22,18997462.5
3/28/22,18996587.5
3/27/22,18995681.25
3/26/22,18994693.75
3/25/22,18993775
3/24/22,18992843.75
3/23/22,18991850
3/22/22,18991081.25
3/21/22,18990012.5
3/20/22,18989062.5
3/19/22,18988112.5
3/18/22,18987118.75
3/17/22,18986393.75
3/16/22,18985200
3/15/22,18984237.5
3/14/22,18983537.5
3/13/22,18982593.75
3/12/22,18981518.75
3/11/22,18980587.5
3/10/22,18979656.25
3/9/22,18978893.75
3/8/22,18978000
3/7/22,18977062.5
3/6/22,18976018.75
3/5/22,18975306.25
3/4/22,18974425
3/3/22,18973675
3/2/22,18972762.5
3/1/22,18971812.5
2/28/22,18970881.25
2/27/22,18969868.75
2/26/22,18969143.75
2/25/22,18968237.5
2/24/22,18967425
2/23/22,18966600
2/22/22,18965618.75
2/21/22,18964737.5
2/20/22,18963993.75
2/19/22,18963006.25
2/18/22,18962218.75
2/17/22,18961387.5
2/16/22,18960293.75
2/15/22,18959375
2/14/22,18958200
2/13/22,18957356.25
2/12/22,18956275
2/11/22,18955081.25
2/10/22,18954137.5
2/9/22,18953206.25
2/8/22,18952443.75
2/7/22,18951562.5
2/6/22,18950550
2/5/22,18949662.5
2/4/22,18948993.75
2/3/22,18947987.5
2/2/22,18947231.25
2/1/22,18946250
1/31/22,18945200
1/30/22,18944418.75
1/29/22,18943475
1/28/22,18942531.25
1/27/22,18941568.75
1/26/22,18940668.75
1/25/22,18940031.25
1/24/22,18938931.25
1/23/22,18937993.75
1/22/22,18937106.25
1/21/22,18936325
1/20/22,18935456.25
1/19/22,18934362.5
1/18/22,18933381.25
1/17/22,18932456.25
1/16/22,18931431.25
1/15/22,18930331.25
1/14/22,18929406.25
1/13/22,18928287.5
1/12/22,18927237.5
1/11/22,18926362.5
1/10/22,18925487.5
1/9/22,18924456.25
1/8/22,18923725
1/7/22,18922806.25
1/6/22,18921843.75
1/5/22,18920850
1/4/22,18919993.75
1/3/22,18919068.75
1/2/22,18918243.75
1/1/22,18917131.25
12/31/21,18916150
12/30/21,18915306.25
12/29/21,18914537.5
12/28/21,18913600
12/27/21,18912675
12/26/21,18911856.25
12/25/21,18911012.5
12/24/21,18910056.25
12/23/21,18909062.5
12/22/21,18908131.25
12/21/21,18907281.25
12/20/21,18906156.25
12/19/21,18905368.75
12/18/21,18904400
12/17/21,18903512.5
12/16/21,18902668.75
12/15/21,18901943.75
12/14/21,18900956.25
12/13/21,18900200
12/12/21,18899181.25
12/11/21,18898293.75
12/10/21,18897425
12/9/21,18896518.75
12/8/21,18895331.25
12/7/21,18894293.75
12/6/21,18893437.5
12/5/21,18892412.5
12/4/21,18891325
12/3/21,18890437.5
12/2/21,18889275
12/1/21,18888425
11/30/21,18887531.25
11/29/21,18886631.25
11/28/21,18885650
11/27/21,18884837.5
11/26/21,18883887.5
11/25/21,18883181.25
11/24/21,18882256.25
11/23/21,18881287.5
11/22/21,18880543.75
11/21/21,18879612.5
11/20/21,18878856.25
11/19/21,18878006.25
11/18/21,18877087.5
11/17/21,18876225
11/16/21,18875168.75
11/15/21,18874325
11/14/21,18873250
11/13/21,18872412.5
11/12/21,18871425
11/11/21,18870425
11/10/21,18869487.5
11/9/21,18868612.5
11/8/21,18867750
11/7/21,18866750
11/6/21,18865831.25
11/5/21,18864912.5
11/4/21,18863981.25
11/3/21,18863131.25
11/2/21,18862000
11/1/21,18861050
10/31/21,18860162.5
10/30/21,18859168.75
10/29/21,18858293.75
10/28/21,18857250
10/27/21,18856256.25
10/26/21,18855331.25
10/25/21,18854418.75
10/24/21,18853293.75
10/23/21,18852231.25
10/22/21,18851393.75
10/21/21,18850262.5
10/20/21,18849312.5
10/19/21,18848587.5
10/18/21,18847556.25
10/17/21,18846493.75
10/16/21,18845681.25
10/15/21,18844787.5
10/14/21,18843787.5
10/13/21,18843025
10/12/21,18842050
10/11/21,18841081.25
10/10/21,18840143.75
10/9/21,18839218.75
10/8/21,18838187.5
10/7/21,18837475
10/6/21,18836606.25
10/5/21,18835937.5
10/4/21,18834831.25
10/3/21,18833825
10/2/21,18832881.25
10/1/21,18831637.5
9/30/21,18830775
9/29/21,18829787.5
9/28/21,18829068.75
9/27/21,18828000
9/26/21,18827000
9/25/21,18826237.5
9/24/21,18825356.25
9/23/21,18824337.5
9/22/21,18823393.75
9/21/21,18822468.75
9/20/21,18821650
9/19/21,18820581.25
9/18/21,18819693.75
9/17/21,18818662.5
9/16/21,18817750
9/15/21,18816862.5
9/14/21,18816150
9/13/21,18815112.5
9/12/21,18814000
9/11/21,18813025
9/10/21,18812268.75
9/9/21,18811393.75
9/8/21,18810381.25
9/7/21,18809543.75
9/6/21,18808675
9/5/21,18807462.5
9/4/21,18806531.25
9/3/21,18805562.5
9/2/21,18804693.75
9/1/21,18803762.5
8/31/21,18802887.5
8/30/21,18802050
8/29/21,18801018.75
8/28/21,18800125
8/27/21,18799162.5
8/26/21,18798231.25
8/25/21,18797431.25
8/24/21,18796518.75
8/23/21,18795500
8/22/21,18794256.25
8/21/21,18793150
8/20/21,18792137.5
8/19/21,18791206.25
8/18/21,18790231.25
8/17/21,18789387.5
8/16/21,18788187.5
8/15/21,18787275
8/14/21,18786193.75
8/13/21,18785106.25
8/12/21,18784106.25
8/11/21,18783162.5
8/10/21,18782400
8/9/21,18781331.25
8/8/21,18780450
8/7/21,18779468.75
8/6/21,18778287.5
8/5/21,18777431.25
8/4/21,18776237.5
8/3/21,18775568.75
8/2/21,18774400
8/1/21,18773418.75
7/31/21,18772612.5
7/30/21,18771487.5
7/29/21,18770468.75
7/28/21,18769581.25
7/27/21,18768506.25
7/26/21,18767550
7/25/21,18766506.25
7/24/21,18765581.25
7/23/21,18764675
7/22/21,18763737.5
7/21/21,18762756.25
7/20/21,18761875
7/19/21,18761075
7/18/21,18760012.5
7/17/21,18759112.5
7/16/21,18758331.25
7/15/21,18757450
7/14/21,18756637.5
7/13/21,18755612.5
7/12/21,18754662.5
7/11/21,18753800
7/10/21,18753150
7/9/21,18752043.75
7/8/21,18751337.5
7/7/21,18750381.25
7/6/21,18749743.75
7/5/21,18748831.25
7/4/21,18748031.25
7/3/21,18747300
7/2/21,18746512.5
7/1/21,18745775
6/30/21,18745206.25
6/29/21,18744662.5
6/28/21,18744087.5
6/27/21,18743500
6/26/21,18743156.25
6/25/21,18742675
6/24/21,18741987.5
6/23/21,18741268.75
6/22/21,18740618.75
6/21/21,18740043.75
6/20/21,18739381.25
6/19/21,18738731.25
6/18/21,18738181.25
6/17/21,18737293.75
6/16/21,18736612.5
6/15/21,18735756.25
6/14/21,18735087.5
6/13/21,18734081.25
6/12/21,18733218.75
6/11/21,18732506.25
6/10/21,18731862.5
6/9/21,18731031.25
6/8/21,18730256.25
6/7/21,18729456.25
6/6/21,18728506.25
6/5/21,18727700
6/4/21,18726700
6/3/21,18725912.5
6/2/21,18725137.5
6/1/21,18723925
5/31/21,18723031.25
5/30/21,18722300
5/29/21,18721431.25
5/28/21,18720625
5/27/21,18719793.75
5/26/21,18719075
5/25/21,18718318.75
5/24/21,18717531.25
5/23/21,18716931.25
5/22/21,18716087.5
5/21/21,18715318.75
5/20/21,18714756.25
5/19/21,18714031.25
5/18/21,18713275
5/17/21,18712581.25
5/16/21,18711762.5
5/15/21,18711043.75
5/14/21,18710325
5/13/21,18709325
5/12/21,18708468.75
5/11/21,18707243.75
5/10/21,18706243.75
5/9/21,18705093.75
5/8/21,18703918.75
5/7/21,18702787.5
5/6/21,18701800
5/5/21,18700743.75
5/4/21,18699668.75
5/3/21,18698593.75
5/2/21,18697456.25
5/1/21,18696300
4/30/21,18695525
4/29/21,18694525
4/28/21,18693918.75
4/27/21,18692993.75
4/26/21,18692137.5
4/25/21,18691300
4/24/21,18690406.25
4/23/21,18689443.75
4/22/21,18688787.5
4/21/21,18687718.75
4/20/21,18687087.5
4/19/21,18686406.25
4/18/21,18685731.25
4/17/21,18684900
4/16/21,18684418.75
4/15/21,18683856.25
4/14/21,18682668.75
4/13/21,18681893.75
4/12/21,18680887.5
4/11/21,18680143.75
4/10/21,18679081.25
4/9/21,18678250
4/8/21,18677181.25
4/7/21,18676443.75
4/6/21,18675456.25
4/5/21,18674437.5
4/4/21,18673475
4/3/21,18672575
4/2/21,18671912.5
4/1/21,18671037.5
3/31/21,18669943.75
3/30/21,18669068.75
3/29/21,18668187.5
3/28/21,18667306.25
3/27/21,18666212.5
3/26/21,18665112.5
3/25/21,18664456.25
3/24/21,18663350
3/23/21,18662475
3/22/21,18661368.75
3/21/21,18660493.75
3/20/21,18659612.5
3/19/21,18658518.75
3/18/21,18657637.5
3/17/21,18656756.25
3/16/21,18655875
3/15/21,18655000
3/14/21,18653906.25
3/13/21,18653031.25
3/12/21,18652156.25
3/11/21,18651062.5
3/10/21,18650406.25
3/9/21,18649312.5
3/8/21,18648437.5
3/7/21,18647562.5
3/6/21,18646687.5
3/5/21,18645812.5
3/4/21,18644718.75
3/3/21,18644056.25
3/2/21,18642956.25
3/1/21,18642075
2/28/21,18641418.75
2/27/21,18640543.75
2/26/21,18639450
2/25/21,18638568.75
2/24/21,18637687.5
2/23/21,18636587.5
2/22/21,18635925
2/21/21,18635050
2/20/21,18634168.75
2/19/21,18633293.75
2/18/21,18632200
2/17/21,18631531.25
2/16/21,18630656.25
2/15/21,18629781.25
2/14/21,18628900
2/13/21,18628025
2/12/21,18626925
2/11/21,18626031.25
2/10/21,18625368.75
2/9/21,18624487.5
2/8/21,18623381.25
2/7/21,18622500
2/6/21,18621406.25
2/5/21,18620518.75
2/4/21,18619418.75
2/3/21,18618543.75
2/2/21,18617443.75
2/1/21,18616568.75
1/31/21,18615906.25
1/30/21,18614812.5
1/29/21,18614156.25
1/28/21,18613056.25
1/27/21,18612181.25
1/26/21,18611306.25
1/25/21,18610425
1/24/21,18609543.75
1/23/21,18608662.5
1/22/21,18607568.75
1/21/21,18606693.75
1/20/21,18605818.75
1/19/21,18604937.5
1/18/21,18604062.5
1/17/21,18603181.25
1/16/21,18602300
1/15/21,18601418.75
1/14/21,18600543.75
1/13/21,18599656.25
1/12/21,18598562.5
1/11/21,18597681.25
1/10/21,18596806.25
1/9/21,18595706.25
1/8/21,18594825
1/7/21,18593950
1/6/21,18592850
1/5/21,18591756.25
1/4/21,18590881.25
1/3/21,18589768.75
1/2/21,18588675
1/1/21,18587787.5
12/31/20,18586912.5
12/30/20,18585818.75
12/29/20,18584712.5
12/28/20,18583831.25
12/27/20,18582737.5
12/26/20,18581862.5
12/25/20,18580981.25
12/24/20,18580106.25
12/23/20,18579231.25
12/22/20,18578356.25
12/21/20,18577475
12/20/20,18576593.75
12/19/20,18575718.75
12/18/20,18574618.75
12/17/20,18573743.75
12/16/20,18572856.25
12/15/20,18571981.25
12/14/20,18571100
12/13/20,18570225
12/12/20,18569343.75
12/11/20,18568456.25
12/10/20,18567581.25
12/9/20,18566700
12/8/20,18565825
12/7/20,18564937.5
12/6/20,18564062.5
12/5/20,18563187.5
12/4/20,18562306.25
12/3/20,18561431.25
12/2/20,18560337.5
12/1/20,18559675
11/30/20,18558581.25
11/29/20,18557925
11/28/20,18557037.5
11/27/20,18555943.75
11/26/20,18555062.5
11/25/20,18554181.25
11/24/20,18553087.5
11/23/20,18552212.5
11/22/20,18551337.5
11/21/20,18550237.5
11/20/20,18549143.75
11/19/20,18548268.75
11/18/20,18547387.5
11/17/20,18546287.5
11/16/20,18545412.5
11/15/20,18544318.75
11/14/20,18543443.75
11/13/20,18542556.25
11/12/20,18541675
11/11/20,18540575
